Ranking;Nome;Time;Assistência
1;Matheus Pereira;Cruzeiro;7
2;Arrascaeta;Flamengo;6
3;Kaio Jorge;Cruzeiro;5
;Lucas Mugni;Ceará;5
;Alan Patrick;Internacional;5
6;Lucas Piton;Vasco da Gama;4
;Jhon Arias;Fluminense;4
;Estêvão;Palmeiras;4
9;Kaiki;Cruzeiro;3
;Luciano Juba;Bahia;3
;Jhonatan;Red Bull Bragantino;3
;Luciano;São Paulo;3
;Wesley;Internacional;3
;Marlon Freitas;Botafogo;3
;Nahuel Ferraresi;São Paulo;3
;Artur;Botafogo;3
;Erick Pulga;Bahia;3
;Paulo Henrique;Vasco da Gama;3
;Tiquinho Soares;Santos;3
;Cauly;Bahia;3
;Memphis Depay;Corinthians;3
;Michael Delgado;Flamengo;3
23;Dieguinho;Ceará;2
;Lucas Romero;Cruzeiro;2
;Lucas Silva;Cruzeiro;2
;André Silva;São Paulo;2
;Enzo Díaz;São Paulo;2
;Vinicinho;Red Bull Bragantino;2
;Léo Ortiz;Flamengo;2
;Ronald;Vitória;2
;Lucas Barbosa;Red Bull Bragantino;2
;Reinaldo;Mirassol;2
;Alex Telles;Botafogo;2
;Edson Carioca;Mirassol;2
;Luiz Araújo;Flamengo;2
;Lucas Ramon;Mirassol;2
;Hulk;Atlético-MG;2
;Lucas Lima;Sport;2
;Christian;Cruzeiro;2
;Marcos Antonio;São Paulo;2
;Facundo Torres;Palmeiras;2
;Gabriel Taliari;Juventude;2
;Gabriel Barbosa;Cruzeiro;2
;William;Cruzeiro;2
;Ferreira;São Paulo;2
;Willian José;Bahia;2
;Alexander Bernabei;Internacional;2
;Guilherme Augusto;Santos;2
;Erick;Vitória;2
;Gullermo Varela;Flamengo;2
